sku,description
111160200060,CHAPA INOX. 6000x2000x6 A304 2B
111460200060,CHAPA INOX. 6000x2000x6 A304L LC
117160200060,CHAPA INOX. 6000x2000x6 A310S 2E
115490250100,CHAPA INOX. 9000x2500x10 A316L LC
111300000000,CHAPA INOX. A-304 SATIN.FUERA DE MEDIDA
1L14201030,CHAPA LAGRIMADA 2000x1000x3 A304 - ASTM
1M14201030,CHAPA LAGRIMADA 2000x1000x3 A304 - DIN
1L54201030,CHAPA LAGRIMADA 2000x1000x3 A316L
1L14201035,"CHAPA LAGRIMADA 2000x1000x3,5 A304"
251115,CUADRADO INOX. A-304 de 15 CALIBRADO
251116,CUADRADO INOX. A-304 de 16 CALIBRADO
251120,CUADRADO INOX. A-304 de 20 CALIBRADO
251125,CUADRADO INOX. A-304 de 25 CALIBRADO
251325,CUADRADO INOX. A-304 de 25 SATINADO
2614025,CUADRADO INOX. A-304 de 25 mm.
2614050,CUADRADO INOX. A-304 de 50 mm.
251106,CUADRADO INOX. A-304 de 6 CALIBRADO
251206,CUADRADO INOX. A-304 de 6 CALIBRADO  BRILLO
251160,CUADRADO INOX. A-304 de 60 CALIBRADO
2614060,CUADRADO INOX. A-304 de 60 mm.
2614065,CUADRADO INOX. A-304 de 65 mm.
222108,HEXAGONAL INOX. A-303 de 8 mm.
221110,HEXAGONAL INOX. A-304 de 10 mm.
221112,HEXAGONAL INOX. A-304 de 12 mm.
221113,HEXAGONAL INOX. A-304 de 13 mm.
221114,HEXAGONAL INOX. A-304 de 14 mm.
221117,HEXAGONAL INOX. A-304 de 17 mm.
9400070,JUNTA ENLACE ENO DN-70
9400080,JUNTA ENLACE ENO DN-80
5J11025275,"JUNTA EXPANSION 2 1/2\"" CON CAMISA INTERIOR A304L (Dilatador)"
41C00100,JUNTA GOMA TIPO 1 DN-100 SBR PN10/16
41C00125,JUNTA GOMA TIPO 1 DN-125 SBR PN10/16
41C00150,JUNTA GOMA TIPO 1 DN-150 SBR PN10/16
41C00040,JUNTA GOMA TIPO 1 DN-40 SBR PN10/16
41C00050,JUNTA GOMA TIPO 1 DN-50 SBR PN10/16
41C00065,JUNTA GOMA TIPO 1 DN-65 SBR PN10/16
41C00080,JUNTA GOMA TIPO 1 DN-80 SBR PN10/16
